id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4544285666710323,JiA4us9F1,7492152084,投行李洪远,疫情结束了吗？连花清瘟胶囊停产了吗？,,,,,0,0,0,2020-09-01 09:59,,,,
4544285170738572,JiA3H368s,5379148084,家庭常备药品牌推广计划,9月1日，CCTV6电影频道“家庭常备药”推广计划正式推出，首家推广品牌“以岭药业”，依托CCTV-6电影频道强大的平台覆盖力，以及精准的受众群体，开启全国性品牌宣传推广，让“连花清瘟”关爱家人健康，远离感冒流感。L家庭常备药品牌推广计划的微博视频,,,,,0,0,1,2020-09-01 09:57,,,"http://f.video.weibocdn.com/V9cuYjlqlx07G5omZqf6010412008beN0E010.mp4?label=mp4_720p&template=1136x640.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1664190470&ssig=rhbxkzf30X&KID=unistore,video",
4544334568096388,JiBlmxYeU,5333009440,极地冰爆,求问:连花清瘟胶囊这个药是吃完从胃里往嗓子眼返凉气么，现在从喉咙到气管这一段都觉得凉凉的，打个嗝都返凉气，怪怪的但挺舒服，吃完药这个样子正常么？,,沈阳,,,0,4,2,2020-09-01 13:14,,,,
4544381857825638,JiCzDwPNY,1841190425,中华好家风,他们一个是司令，一个是政委，在战火纷飞的年代立下「生前并肩战斗，死后共葬一丘，永远为人民站岗」的约定，他们就是开国将军：旷伏兆、刘秉彦。昨晚两位将军的后代做客连花清瘟胶囊#中华好家风#，讲述了许多不为人知的故事，错过精彩？来这里补票吧~高清完整版链接：L安分的蓝甲虫君的优酷视频,,,,中华好家风,1,0,3,2020-09-01 16:22,,,http:https://api.youku.com/videos/player/file?data=WcEl5oEuZd3pNREUyTnprek5nPT18MHwxfDEwMDUwfDAO0O0O,
4544399356725922,JiD1RsdIC,5457816662,曹不孤不孤,#新乡医学院三全学院暑期社会实践##新乡医学院三全学院仁智书院暑期社会实践#“弘扬中医，抗击新冠”暑期社会实践团队清风甘草队采访一线抗疫医生8月9日，新乡医学院三全学院仁智书院各个小分队赴自己所在地区的中医院采访一线的抗疫医生例如南阳市医院，滑县医院等等。记录者王会亮。此次各个小分队采取线下实地采访一线抗疫医生，旨在更加清楚地明白中医治疗新冠的具体方法，步骤，中医药在治疗新冠过程中的效果，向他们了解对中医药的看法。首先医生说中医药在此次新冠预防和治疗过程中发挥了非常出色的作用，中医药对新冠肺炎救治的参与率达到90%以上。然后给我们介绍目前临床上主要用“三药三方”金花清感颗粒，连花清瘟胶囊，血必净注射液，清肺排毒汤，化湿败毒方，宣肺败毒方，而且经过证实是确实有效的。但是各有不同金花清感颗粒和连花清瘟胶囊对轻型，普通型患者是确切有效地主要是疏风宣肺，清热解毒。减少轻型，普通型转为重型的发生。血必净注射液主要用于治疗重型和危重的患者，和西药一块使用减少危重向重症的发展，降低重症患者的死亡率。清肺排毒汤主要在改善发热，咳嗽，乏力等方面见效快而且明显，可以有效促进重症患者肺部影像学的改善。另外两种化湿败毒方，宣肺败毒方也是主要适用于轻型和普通型患者并且经过临床治疗观察确切有效。然后医生又给我们强调中医药的药方药剂也是在汲取各地区的治疗经验不断修订，不断完善的。而且各地区的药方也是不大相同的。要做到中医的三因制宜也就是因时，因人，因地。最后一线抗疫医生又给我们分享了他对中医药的看法他说中医药确实有一定的缺点比如人们认为中医药疗效慢，服用不方便，口味苦怪，还有中医药目前治疗手段单一，中医药缺乏创新发展，等等但是中医药也有不可匹敌的优势比如有强大的资源优势，治病有其独特之处，中医药现代化进程在加快，其潜力在日渐凸显。而且国家在积极发扬继承和创新传统文化，中医药由国家相关政策扶持。未来发展前景一定是光明的。,,,,"新乡医学院三全学院暑期社会实践,新乡医学院三全学院仁智书院暑期社会实践",0,0,0,2020-09-01 17:31,,,,
4544395099768682,JiCUZEZho,1575029091,薇小人,9.1胸闷消失今天拉肚子继续连花清瘟胶囊,,,,,0,3,0,2020-09-01 17:14,,,,
4544408379464672,JiDgpDIc0,1646531292,你二弟的工作服掉了,😂😂😂有没有回收连花清瘟胶囊的，都是国家给的，我不吃放着也浪费,,,,,0,0,0,2020-09-01 18:07,,,,
4544443682392636,JiEbma2qU,2058046733,繁花似锦studio,网络会议又见钟爷爷，感谢中医协会连花清瘟胶囊作用研讨会平台L繁花似锦studio的微博视频,,,,,0,0,0,2020-09-01 20:27,,,"http://f.video.weibocdn.com/002Jxis0gx07G65vFZ2L010412005Bqp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=721584770189073627c6ee9d880087b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1664190482&ssig=iZaJaRlla7&KID=unistore,video",
4544456466895296,JiEvYsVMs,2372769390,彦_我需要静静,有些人，听到连花清瘟就喊安慰剂，看见张伯礼医生上《开学第一课》就呼误人子弟。国家认为中医有功，人民觉得中医有效，你算老几？,,,,,0,0,1,2020-09-01 21:18,,,,
4544467011643279,JiEMZ6Tuv,3943291502,张恒是个大笨蛋,备了八个月的连花清瘟终于用上了,,,,,0,0,0,2020-09-01 22:00,,,,
